SATUAN KERJA,LATITUDE,LONGITUDE
Kantor Kementerian Agama Kabupaten Batu Bara,3.171246705,99.42034917
KUA Kecamatan Air Putih,3.286983232,99.36666204
KUA Kecamatan Lima Puluh,3.171487993,99.42208792
KUA Kecamatan Medang Deras,3.372180875,99.40396527
KUA Kecamatan Sei Balai,3.126679386,99.58506824
KUA Kecamatan Sei Suka,3.305823,99.34369
KUA Kecamatan Talawi,3.203287305,99.56373664
KUA Kecamatan Tanjung Tiram,3.211977566,99.57395679
MAN Batubara,3.171384086,99.4188491
MIN 1 Batubara,3.193000196,99.49394941
MIN 2 Batubara,3.217724559,99.57429195
MTsN Batubara,3.17287,99.4172
